Page Name,System Name,Documentation Type,PDF Path,Markdown Path,Last Updated
System Architecture,All systems (overview),Architecture,Documentation/PDFs/SYSTEM_ARCHITECTURE.pdf,Documentation/Markdown/SYSTEM_ARCHITECTURE.md,2026-06-14
Database Architecture,PostgreSQL,Architecture,Documentation/PDFs/DATABASE_ARCHITECTURE.pdf,Documentation/Markdown/DATABASE_ARCHITECTURE.md,2026-06-14
Airtable Architecture,Airtable,Architecture,Documentation/PDFs/AIRTABLE_ARCHITECTURE.pdf,Documentation/Markdown/AIRTABLE_ARCHITECTURE.md,2026-06-14
Deployment Guide,Production Server (Phase D),Guide,Documentation/PDFs/DEPLOYMENT_GUIDE.pdf,Documentation/Markdown/DEPLOYMENT_GUIDE.md,2026-06-14
Developer Handbook,All systems (onboarding),Handbook,Documentation/PDFs/DEVELOPER_HANDBOOK.pdf,Documentation/Markdown/DEVELOPER_HANDBOOK.md,2026-06-14
Home (/),Per-Page,Page Spec,Documentation/PDFs/PAGE_01_HOME.pdf,Documentation/Markdown/PAGE_01_HOME.md,2026-06-14
Services Hub (/services/),Per-Page,Page Spec,Documentation/PDFs/PAGE_02_SERVICES.pdf,Documentation/Markdown/PAGE_02_SERVICES.md,2026-06-14
Security SEO (/services/security-seo/),Per-Page,Page Spec,Documentation/PDFs/PAGE_03_SECURITY_SEO.pdf,Documentation/Markdown/PAGE_03_SECURITY_SEO.md,2026-06-14
AIO (/services/aio/),Per-Page,Page Spec,Documentation/PDFs/PAGE_04_AIO.pdf,Documentation/Markdown/PAGE_04_AIO.md,2026-06-14
AEO (/services/aeo/),Per-Page,Page Spec,Documentation/PDFs/PAGE_05_AEO.pdf,Documentation/Markdown/PAGE_05_AEO.md,2026-06-14
GEO (/services/geo/),Per-Page,Page Spec,Documentation/PDFs/PAGE_06_GEO.pdf,Documentation/Markdown/PAGE_06_GEO.md,2026-06-14
Google Ads (/services/google-ads/),Per-Page,Page Spec,Documentation/PDFs/PAGE_07_GOOGLE_ADS.pdf,Documentation/Markdown/PAGE_07_GOOGLE_ADS.md,2026-06-14
Bing Ads (/services/bing-ads/),Per-Page,Page Spec,Documentation/PDFs/PAGE_08_BING_ADS.pdf,Documentation/Markdown/PAGE_08_BING_ADS.md,2026-06-14
